代码	    名称	市盈(动)	市净率	总市值
SZ300510	金冠股份		1.58	3504935500
SZ300511	雪榕生物		3	4441069800
SZ300512	中亚股份	59.67	2.22	3625843100
SZ300513	恒实科技		2.06	2722839200
SZ300514	友讯达	25.5	2.42	2554000000
SZ300515	三德科技	19.8	3.9	3629509400
SZ300516	久之洋	443.7	8.24	10720800000
SZ300517	海波重科		2.18	2204548200
SZ300518	新迅达		5.33	4010166800
SZ300519	新光药业	40.74	2.97	2462400000
SZ300520	科大国创		5.72	10124715400
SZ300521	爱司凯		7.48	3952872000
SZ300522	世名科技	173	4.47	3530844000
SZ300523	辰安科技		4.69	4955181700
SZ300525	博思软件	782.5	3.06	7713471900
SZ300527	ST应急	764.6	2.81	8174833800
SZ300528	幸福蓝海		11.36	6002715700
SZ300529	健帆生物	23.43	4.28	14159272000
SZ300530	领湃科技		83.6	4477613300
SZ300531	优博讯	72.12	4.37	6148662200
SZ300532	今天国际	21.51	2.82	5057880700
SZ300533	冰川网络	13.45	4.22	6440670300
SZ300534	陇神戎发	78.53	4.1	2830208900
SZ300535	达威股份	58.36	2.15	2072974700
SZ300536	农尚环境		5.11	2287647400
SZ300537	广信材料	378.1	4.9	4420044700
SZ300538	同益股份	268.4	2.73	2623265800
SZ300539	横河精密	146.1	6.29	7303062000
SZ300540	蜀道装备	75.61	4.01	4542974800
SZ300541	先进数通	50.66	3.38	5818502000
SZ300542	新晨科技		8.36	4523182500
SZ300543	朗科智能	73.3	2	2938101100
SZ300545	联得装备	43.7	2.64	5628752800
SZ300546	雄帝科技	159.2	3.47	3902489600
SZ300547	川环科技	35.39	5.06	6463804000
SZ300548	长芯博创	133.4	22.73	44654363000
SZ300549	优德精密	287.2	4.07	2242778800
SZ300550	和仁科技	182.9	2.83	3155972900
SZ300551	古鳌科技		10.69	4679264700
SZ300552	万集科技		3.04	5360297800
SZ300553	集智股份	99.47	4.95	4214389100
SZ300554	三超新材		4.88	2434990800
SZ300555	ST路通		5.21	2474000000
SZ300556	丝路视觉		4.79	2126177300
SZ300557	理工光科	72.29	3.83	3818216300
SZ300558	贝达药业	43.41	3.14	18343996000
